Sci Name,Name, Plant Type,Color,Hardiness Zones,Blooms in,Height,Soil needs,Sun needs,Water needs,Maintenance
Eschscholzia|Golden Poppy|"Annuals, Perennials"|"Their color ranges from yellow to orange."|":6:7:8:9:10:"|"Spring, Autumn, Winter, Summer"|"The plants grow up to 30 cm (1 ft) tall, but some species have been known to grow taller."|"In general, these plants grow in a range of soils, but prefer loamy or clay soils. They thrive in well-drained, poor soils with relatively little organic matter, preferring neutral to slightly alkaline soils."|"Full sun"|"low"|"low"
Euphorbia|Spurge|"Annuals, Cactus - Succulents, Perennials, Shrubs, Trees"|"The bracts come in almost every color imaginable. The real flowers are tiny and usually yellow in color."|":4:5:6:7:8:9:10:11:"|"Spring, Autumn, Winter, Summer"|"The species range in size from 30 cm to 20 metres (1 ft to 66 ft) tall."|"Euphorbia prefers well drained soil. Even though they are not particular about soil pH, they grow easiest with a soil pH from 6.0 to 7.0."|"Full sun, Partial sun"|"low"|"low"
Eustoma|Lisianthus; Prairie Gentian|"Annuals, Perennials"|"The flowers come in white, cream, blue, purple, pink and lilac."|":8:9:10:11:"|"Autumn, Summer"|"Depending on the variety, Eustoma will grow from 15 cm (6 inches) to 80 cm (3 ft) in height."|"The plant performs best in rich, moist and well drained soil, with a pH between 6.5 and 7.0."|"Full sun, Partial sun"|"average"|"medium"
Felicia|Blue Daisy; Marguerite Daisy|"Annuals, Perennials, Shrubs"|"The flowers are blue, white, lilac or purple. Most of them have yellow centers, with the exception of the Felicia heterophylla which is all-blue in color."|":8:9:10:11:"|"Spring, Autumn, Summer"|"The species can grow up to 50 cm (20 inches) in height."|"Felicia grows in almost any well drained soil."|"Full sun"|"average"|"low"
Forsythia|Golden Bell|"Shrubs"|"The flowers are yellow in color."|":4:5:6:7:8:9:"|"Spring"|"Forsythia grows between 60 cm (2 ft) and 6 metres (20 ft) tall, depending on species."|"The soil should be moist, but well drained and rich in organic matter. Forsythia grows in low-acidic, neutral and even moderately alkaline soils."|"Full sun, Partial sun"|"average"|"low"
Freesia|Freesia|"Bulbs, Perennials"|"Freesia comes in white, yellow, orange, red, pink, mauve, lavender and purple colors."|":9:10:"|"Spring, Autumn, Summer"|"Freesia can grow up to 40 cm (1 ft) tall."|"This plant likes moist and well drained soil."|"Full sun, Partial sun"|"average"|"low"
Fritillaria|Checkered Lily; Snakes Head; Crown Imperial|"Bulbs, Perennials"|"Fritillaria comes in variety of colors, from bright yellow to orange, green and deep red."|":4:5:6:7:8:"|"Spring"|"Fritillaria can reach 30 cm to 1,5 metres (1-5 ft) in height, depending on variety."|"The plant requires well drained soil."|"Full sun, Partial sun"|"average"|"low"
Fuchsia|Lady&#39;s Eardrop|"Shrubs, Trees"|"Fuchsia develops white, yellow, orange, red and purple colored flowers, composed of red sepals and purple petals."|":6:7:8:9:10:11:"|"Autumn, Summer"|"Fuchsia can grow from 15 cm (6 inches) to 15 metres (50 ft) in height, depending on species."|"Fuchsia prefers moist, but well drained soil, with a pH between 5.5 and 6.5."|"Full sun, Partial sun"|"average"|"low"
Gaillardia|Blanket Flower|"Annuals, Perennials"|"The flowers come in various shades of red, orange, yellow, purple and brown. The bicolor blooms are pretty intense."|":2:3:4:5:6:7:8:9:10:"|"Autumn, Summer"|"Plants belonging to the Gaillardia genus range in height from 15 cm (6 inches) to 90 cm (3 ft)."|"These plants grow best in moist and well drained soil, with a pH between 5.5 and 7.0. However, they will tolerate drought, heat, poor and sandy soils, but heavy clay soil will probably kill them."|"Full sun"|"low"|"low"
Galanthus|Snowdrops|"Bulbs, Perennials"|"Unlike many other flowers, Galanthus only comes in one color - creamy white."|":3:4:5:6:7:8:9:"|"Spring, Winter"|"These tiny flowers grow up to 25 cm (10 inches) high."|"Galanthus prefers moist and well drained soil of pH 6.0 to 8.0."|"Full sun, Partial sun"|"average"|"low"
Gardenia|Gardenia|"Shrubs, Trees"|"The most of them are white (or a related color like ivory or cream), but some of them are yellow."|":6:7:8:9:10:11:"|"Spring, Summer"|"Gardenia grows between 60 cm (2 ft) and 6 metres (20 ft) tall, depending on species."|"Gardenia likes moist, but well drained soil. The ideal soil pH is between 5.0 and 6.0."|"Full sun, Partial sun"|"average"|"hard"
Gazania|Treasure Flower|"Annuals, Perennials"|"The flowers come in shades of yellow, orange, pink, red and white. The colors of the petals are bright and unique."|":8:9:10:11:"|"Spring, Autumn, Winter"|"The plant grows up to 30 cm (1 ft) high."|"Gazania will grow best in well-drained soil in full sun, with a pH level between 5.5 and 7.0."|"Full sun"|"low"|"low"
Gentiana|Gentian|"Annuals, Perennials"|"Most of the species have beautiful, vivid blue flowers, but white, yellow, purple and red varieties are also available."|":3:4:5:6:7:8:9:"|"Spring, Autumn, Summer"|"These plants range from dwarf species just 5 cm (2 inches) tall to the larger varieties that grow up to 90 cm (3 ft) in height."|"Gentiana will grow best in rich, moist and well drained soil, with a pH level between 5.0 and 7.5."|"Full sun, Partial sun"|"average"|"low"
Geranium|Cranesbills|"Annuals, Perennials"|"The flowers come in shades of white, red, blue, purple and pink."|":2:3:4:5:6:7:8:9:10:"|"Spring, Autumn, Summer"|"These plants grow between 15 and 120 cm (6 inches to 4 ft) in height."|"Geranium will grow in almost any kind of soil. The ideal soil pH should be mildly acidic."|"Full sun, Partial sun"|"average"|"low"
Gerbera|Gerbera|"Perennials"|"These flowers come in many different colors except blue."|":8:9:10:11:"|"Spring, Autumn, Summer"|"These plants are 20 to 45 cm (8-18 inches) tall. The flower heads vary from 7 to 12 centimeters (3 to 5 inches) in diameter."|"Gerberas prefer rich and well-drained soil, with lots of added organic matter. They grow best in slightly acidic soil, with a pH level of 5.5 - 6.5."|"Full sun, Partial sun"|"average"|"low"
Geum|Avens|"Perennials"|"Geum comes in various colors including white, yellow, orange, pink and red."|":3:4:5:6:7:8:9:"|"Spring, Summer"|"The plant grows up to 60 cm (2 ft) tall."|"Geums prefer rich, moist and well drained soil, with a pH level between 5.5 and 7.0."|"Full sun, Partial sun"|"average"|"low"
Gladiolus|Gladiola; Sword Lily|"Bulbs, Perennials"|"The flowers range from white, yellow, pink and lavender to red, purple and even green."|":2:3:4:5:6:7:8:9:10:"|"Spring, Autumn, Summer"|"These plants grow between 60 to 180 cm (2 to 6 ft) in height."|"They prefer moist and well-drained soil, with a pH level between 6.0 and 7.0."|"Full sun"|"average"|"low"
Gloriosa|Flame Lily|"Annuals, Bulbs, Climbers, Perennials"|"The flowers come in shades of red, orange, pink and yellow."|":8:9:10:11:"|"Spring, Autumn, Summer"|"Gloriosa usually grows to about 3 m (10 ft), but sometimes reaches more than 3 m (10 ft) in height and requires a trellis or wall to climb on. Some species, such as Gloriosa lutea (Gloriosa Lily), are smaller in size."|"The plant prefers rich, well-drained soil that retains moisture. It will perform best in neutral to alkaline soil ranging from 5.8 to 6.5 on the pH scale."|"Full sun, Partial sun"|"average"|"medium"
Gomphrena|Gomphrena|"Annuals, Perennials"|"The flowers come in various colors including white, yellow, pink, orange, red and purple."|":2:3:4:5:6:7:8:9:10:11:"|"Spring, Autumn, Summer"|"These beautiful plants can reach up to 90 cm (3 ft) in height, but most of the species are smaller than that."|"The plant is not fussy about the soil type as long as it is well drained. It grows best in full sun and is tolerant of dry soil and humidity."|"Full sun"|"average"|"low"
Grevillea|Spider Flower; Silky Oak|"Shrubs, Trees"|"Grevillea flowers may be red, yellow, orange, purple or white, depending on species."|":9:10:11:"|"Spring, Autumn, Winter, Summer"|"These plants range from small shrubs around 50 cm (20 inches) high to large trees up to 35 metres (115 ft) tall."|"Grevillea grows in all types of soil, but prefers well-drained soil."|"Full sun, Partial sun"|"low"|"low"
Gypsophila|Baby&#39;s Breath|"Annuals, Perennials"|"The plants have small white or pink flowers."|":3:4:5:6:7:8:9:"|"Spring, Summer"|"Gypsophila range in size from 15 cm (6 inches) to 1 m (30 ft) tall."|"Gypsophila tolerates any kind of soil, but good drainage is essential.  Some species prefer calcium-rich, alkaline soils."|"Full sun"|"low"|"low"
Hamamelis|Witch Hazel|"Shrubs, Trees"|"Hamamelis flowers range in color from deep red to yellow."|":3:4:5:6:7:8:9:"|"Spring, Autumn, Winter"|"The plant grows between 150 cm (5 ft) and 8 m (26 ft) in height, depending on the species."|"Hamamelis likes fertile, moist and well drained soil, with a ph between 4.5. and 7.0. It tolerates deep soils over chalk."|"Full sun, Partial sun"|"average"|"low"
Helenium|Sneezeweed|"Annuals, Perennials"|"Helenium flowers come in shades of yellow, orange, red and brown."|":3:4:5:6:7:8:"|"Autumn, Summer"|"Helenium grows up to 150 cm (5 ft) tall."|"Helenium likes moist and well drained soil, and will tolerate most pH levels."|"Full sun"|"average"|"medium"
Helianthus|Sunflower|"Annuals, Perennials"|"Although yellow is the original color, Sunflowers also come in shades of cream, red, orange and purple that contrast with deep brown centers."|":3:4:5:6:7:8:9:"|"Autumn, Summer"|"Although there are some dwarf species that grow 30-60 cm (1-2 ft) tall, Sunflowers are usually tall plants which can grow up to 3 metres (10 ft) in height."|"Sunflowers grow best in fertile, well drained soil, with a pH range between 6.0 and 7.5."|"Full sun"|"average"|"low"
Heliconia|Lobster Claw; False Bird of Paradise|"Perennials"|"The colors of the flowers range in hues of red, orange, pink, yellow and green."|":9:10:11:"|"Spring, Autumn, Summer"|"Heliconias can vary in height from as small as 60 cm (2 ft) to 6 metres (20 ft), depending on species."|"Heliconia prefers rich and well drained soil that stays consistently moist. The optimal pH range is between 5.0 and 7.0."|"Full sun, Partial sun"|"average"|"low"
Helleborus|Hellebore; Christmas Rose|"Perennials"|"The flowers come in various colors, from purple to pink, green, yellow, white and even black."|":4:5:6:7:8:9:"|"Spring, Winter"|"They range in size from 30 cm (1 ft) to 1,2 metres (4 ft) tall."|"These plants prefer rich, moist and well-drained soil. They are tolerant of most soil types, but avoid planting them in dry or waterlogged soil."|"Partial sun, Shade"|"average"|"low"
Hibiscus|Rose Mallow|"Annuals, Perennials, Shrubs, Trees"|"The flowers come in a variety of colors, from red, orange, pink and yellow to white, purple and blue."|":4:5:6:7:8:9:10:11:"|"Autumn, Summer"|"These beauties can reach heights up to 4 metres (13 ft)."|"Hibiscus likes moist and well drained soil, with a neutral to slightly acidic pH."|"Full sun, Partial sun"|"average"|"low"
Hippeastrum|Amaryllis|"Bulbs"|"Hippeastrum comes in red, pink, salmon, orange, white, yellow and pale green colors."|":2:3:4:5:6:7:8:9:10:"|"Spring, Winter, Summer"|"Hippeastrum grows from 30 cm to 90 cm (1 to 3 ft) high."|"This plant will grow in moist and well drained soil that is acidic, alkaline or neutral."|"Full sun, Partial sun"|"average"|"low"
Hosta|Plantain Lily|"Perennials"|"These flowers are usually white, whitish with lavender lines or even purple."|":3:4:5:6:7:8:9:"|"Spring, Autumn, Summer"|"Some varieties are short, while some can grow up to 180 cm (6 ft) tall."|"Hosta can tolerate just about any soil, but does best in rich, moist and well-drained soil."|"Partial sun, Shade"|"average"|"low"
Hoya|Wax Plant|"Climbers, Perennials, Shrubs"|"The flowers are mostly white, but are also available in shades of pink, red, purple, orange and green."|":8:9:10:11:12:"|"Spring, Autumn, Winter, Summer"|"Hoya plants range in size from 10 cm (4 inches) to 3 meters (10 ft) in height."|"The plant will grow best in moist and well drained soil, with a pH between 5.0 and 6.5."|"Full sun, Partial sun"|"average"|"low"
Hyacinthus|Hyacinth|"Bulbs"|"Hyacinth comes in many color varieties, such as purple, blue, white, yellow, red, pink and orange."|":4:5:6:7:8:"|"Spring"|"Hyacinth can grow up to 30 cm (1 ft) in height."|"These plants will perform well in moist and well drained soil that is neutral to slightly acidic."|"Full sun, Partial sun"|"average"|"low"
Hydrangea|Hortensia|"Climbers, Shrubs, Trees"|"The flowers come in shades of blue, purple, white, pink and red."|":3:4:5:6:7:8:9:"|"Spring, Autumn, Summer"|"These plants range in size from 60 cm to 12 metres (2 ft to 40 ft) in height, depending on species."|"Hydrangea grows best in moist, but well-drained soil."|"Partial sun"|"average"|"low"
Hypericum|St. John’s Wort|"Annuals, Perennials, Shrubs, Trees"|"The flowers are generally yellow."|":4:5:6:7:8:9:"|"Spring, Autumn, Summer"|"Hypericum can reach a height between 30 cm (1 ft) and 2 m (7 ft), depending on species."|"Hypericum grows best in moist and well drained soil that has a pH between 5.5 and 7.0."|"Full sun, Partial sun"|"average"|"low"
Hypoxis|Star Grass|"Perennials"|"The flowers are bright yellow in color."|":5:6:7:8:9:10:"|"Spring, Summer"|"Hypoxis plants usually grow to a height of 20 cm (8 inches)."|"Hypoxis grows best in moist areas with full sun. Most species are not fussy about the soil pH."|"Full sun, Partial sun"|"low"|"low"
Hyssopus|Hyssop|"Perennials, Shrubs"|"The flowers are usually purple and blue, or rarely pink and white."|":3:4:5:6:7:8:9:10:"|"Spring, Autumn, Summer"|"The plant usually grows to a height of 60 cm (2 ft)."|"Hyssopus thrives in sunny or partially shaded areas with well drained, moist or dry soil. It is an adaptable plant that grows in sandy or loamy soils and tolerates a pH range from 5.0 to 8.0."|"Full sun, Partial sun"|"average"|"low"
Iberis|Candytuft|"Annuals, Perennials, Shrubs"|"The flowers are usually white, but can also be pink or lilac."|":3:4:5:6:7:8:9:"|"Spring, Summer"|"The plant can reach a height between 15 cm (6 inches) and 30cm (1 ft)."|"Iberis likes rich, moist and well drained soil. Some species can grow in nutritionally poor soil."|"Full sun"|"average"|"medium"
Impatiens|Jewelweed; Touch-me-not; Busy Lizzy|"Annuals, Perennials"|"These flowers are available in a variety of colors including blue, purple, orange, red, pink, white and yellow."|":8:9:10:11:12:"|"Spring, Autumn, Summer"|"They are short plants that usually don&#39;t grow larger than 30 cm (1 ft)."|"These plants prefer rich, moist and well drained soil, with a pH between 6.0 and 7.5."|"Partial sun, Shade"|"average"|"low"
Ipomoea|Morning Glory; Kangkung|"Annuals, Climbers, Perennials, Shrubs, Trees"|"The flowers come in many colors including white, red, blue, purple and yellow."|":2:3:4:5:6:7:8:9:10:11:"|"Spring, Autumn, Summer"|"These plants vary in size from 20 cm (8 inches) to 4,5 metres (15 ft) in height."|"The plant is very adaptable and will grow in almost any type of soil that is well drained."|"Full sun"|"average"|"low"
Iris|Iris|"Perennials"|"Iris comes in a rainbow of colors including blue, purple, white, yellow, pink, orange, brown, red and black."|":3:4:5:6:7:8:9:"|"Spring, Autumn, Winter, Summer"|"Irises are available in different sizes, which range from dwarf species (5 cm or 2 inches) to much larger varieties (130 cm or 4 ft)."|"Iris performs best in moist and well drained soil that is slightly acidic."|"Full sun, Partial sun"|"average"|"low"
Ixora|Jungle Flame; Flame of the Woods|"Shrubs, Trees"|"Ixora comes in bright red, orange, pink, yellow and white colors. The red color is the most common color."|":9:10:11:"|"Spring, Summer"|"Ixora grows up to 200 cm (7 ft) in height."|"Ixora likes moist, but well drained soil. It should be planted in rich, acidic soil because alkaline soil can result in yellow foliage."|"Full sun, Partial sun"|"average"|"low"
Jacaranda|Jacaranda|"Shrubs, Trees"|"These flowers come in shades of purple and blue."|":9:10:11:"|"Spring, Summer"|"These plants grow between 1 and 10 metres (3-32 ft) tall, depending on species."|"Although Jacaranda tolerates a wide variety of soils, it grows best in sandy soil, with a slightly acidic pH range."|"Full sun, Partial sun"|"average"|"low"
Jasione|Jasione|"Annuals, Perennials"|"The flowers are blue or purple in color,"|":4:5:6:7:8:9:"|"Spring, Autumn, Summer"|"Jasione can grow up to 50 cm (2 ft) in height."|"This plant needs well drained soil. It is not fussy about soil pH"|"Full sun, Partial sun"|"average"|"low"
Jasminum|Jasmine|"Climbers, Shrubs"|"Most of the Jasmine species bear white or pale yellow flowers."|":6:7:8:9:10:11:"|"Spring, Summer"|"Growing approximately 30-60 cm (1-2 ft) per year, Jasmines can reach 150 cm (5 ft) tall as a shrub and over 10 m (33 ft) as a vine."|"Jasmine likes fertile and moist, but well drained soil. The ideal soil pH is between 6.0 and 7.5."|"Full sun, Partial sun"|"low"|"low"
Justicia|Jacobinia|"Perennials, Shrubs"|"Justicia comes in shades of red, orange, pink, yellow, white and cream."|":8:9:10:11:12:"|"Summer"|"The smaller types grow in mounds about 50 cm (2 ft) high, while others are more shrublike and grow up to 2,5 metres (8 ft) tall."|"Justicia prefers well drained, acidic to neutral soil."|"Partial sun, Shade"|"average"|"low"
Kalanchoe|Kalanchoe|"Cactus - Succulents, Perennials, Shrubs"|"Kalanchoe comes in a variety of colors, including orange, pink, red, white and many variations thereof."|":9:10:11:"|"Spring, Autumn, Winter, Summer"|"Most species are less than 1 m (3 ft), with the exception of Kalanchoe beharensis from Madagascar which can reach the height of 6 m (20 ft)."|"These plants do best in well drained soil, with a pH level between 5.0 and 6.5."|"Full sun, Partial sun"|"low"|"low"
Kalmia|Spoonwood|"Shrubs"|"The flowers are usually pink, purple, lavender or white."|":4:5:6:7:8:9:"|"Spring, Summer"|"These plants range from 25 cm (1 ft) to 5 metres (16 ft) in height."|"The plant prefers moist, well drained and acidic soil."|"Full sun, Partial sun"|"average"|"low"
Kerria|Japanese Kerria; Japanese Rose|"Shrubs"|"These flowers are bright yellow in color."|":4:5:6:7:8:9:"|"Spring, Summer"|"Kerria grows up to 3 metres (10 ft) in height."|"Kerria japonica grows best in moist, well drained and slightly acidic soil."|"Partial sun"|"average"|"low"
Kniphofia|Red Hot Pokers; Torch Lily; Tritoma|"Perennials"|"Kniphofia blooms in shades of red, orange, yellow and cream. These plants change color as the flower matures, which results in a bicolor look."|":5:6:7:8:9:10:"|"Spring, Autumn, Summer"|"Kniphofia grows up to 2 metres (7 ft) high."|"This plant will grow in moist and well drained soil that is neutral, alkaline or acidic."|"Full sun"|"average"|"low"
Kolkwitzia|Beauty Bush|"Shrubs"|"The flowers are soft pink to white, each with a yellow troat."|":4:5:6:7:8:"|"Spring, Summer"|"Kolkwitzia amabilis grows up to 3 metres (10 ft) in height."|"The plant prefers fertile and moist, but well drained soil. It can tolerate acid to alkaline soil, with a pH between 5.0 and 8.0."|"Full sun, Partial sun"|"average"|"low"
Kunzea|Kunzea|"Shrubs, Trees"|"Kunzea flowers come in various colors including white, yellow, pink, purple and red."|":7:8:9:10:"|"Autumn, Winter, Summer"|"They range in size from small ground covers to 10 metre (32 ft) trees."|"Kunzeas prefer moist and well drained soil, but will grow in a variety of soils with a pH range of 6.0 to 8.0."|"Full sun, Partial sun"|"average"|"low"
Lantana|Shrub Verbena|"Annuals, Perennials, Shrubs"|"Lantana comes in a rainbow of colors including red, orange, pink, lavender, yellow, white or a mixture of these and will often display different colors in the center and on the edges."|":8:9:10:11:"|"Spring, Autumn, Summer"|"The species range in size from 25 cm to 1,2 metres (10 inches to 4 ft) tall."|"Lantana prefers moist, but well drained soil, with a pH between 6.5 and 7.5."|"Full sun"|"average"|"low"
Lathyrus|Sweet Pea|"Annuals, Climbers, Perennials"|"The flowers come in a wide variety of colors, including white, cream, yellow, red, scarlet, pink, salmon, magenta, purple, lavender and blue."|":2:3:4:5:6:7:8:9:10:11:"|"Spring, Autumn, Summer"|"The species range from 30 cm (1 ft) to 280 cm (9 ft) tall, depending on variety."|"The plant grows in moist and well drained soil and will survive in acid, alkaline and neutral soil."|"Full sun"|"average"|"low"
Leontopodium|Edelweiss|"Perennials"|"This plant has small, yellow clustered florets."|":4:5:6:7:8:9:"|"Spring, Autumn, Summer"|"The plant reaches about 30 cm (1 ft) in height."|"Leontopodium needs good drainage and pH between 6.5 and 7.5 (slightly alkaline to medium acidity)."|"Full sun, Partial sun"|"average"|"low"
Leucojum|Snowflake|"Bulbs, Perennials"|"Snowflakes have white flowers with faint green tips."|":3:4:5:6:7:8:9:"|"Spring, Summer"|"Leucojum grows up to 60 cm (2 ft) high."|"These plants are not fussy about soil type, but they bloom best in a soil that is rich, moist and well-drained."|"Full sun, Partial sun"|"average"|"low"
Lewisia|Lewisia|"Perennials"|"The flowers come in shades of white, pink, purple, orange and red."|":3:4:5:6:7:8:"|"Spring, Autumn, Summer"|"Lewisia is a small plant, growing up to 30 cm (1 ft) in height."|"Lewisia prefers moderately fertile and well drained soil, with a ph value between 5.0 and 8.0. It is drought tolerant and thrives in poor and dry soils."|"Full sun, Partial sun"|"low"|"low"
Liatris|Blazing Star; Gayfeather|"Perennials"|"The flowers come in shades of purple, lavender, pink, white, rose and violet."|":3:4:5:6:7:8:9:10:"|"Autumn, Summer"|"The plant grows up to 150 cm (5 ft) in height."|"Liatris will grow best in sandy or loamy soil, with a pH between 5.5 and 7.5. Plant Liatris in tough soil conditions with good drainage."|"Full sun"|"average"|"low"
Lilium|Lily|"Bulbs, Perennials"|"Lilies come in a large variety of colors and the most common are white, yellow, orange and red."|":3:4:5:6:7:8:9:"|"Spring, Autumn, Summer"|"Some species are small, about 30 cm or 1 ft (such as Dwarf Asiatic Lilies), while others can reach a height of 270 cm or 9 ft (Lilium Superbum)."|"Most Lilies prefer moist and well-drained soil and they will perform best in soil that is slightly acidic."|"Full sun, Partial sun"|"average"|"low"
Limonium|Sea Lavender; Statice|"Annuals, Perennials, Shrubs"|"The flowers are blue, purple, pink, yellow or white."|":3:4:5:6:7:8:9:10:11:"|"Spring, Summer"|"The plant grows up to 90 cm (3 ft) in height."|"Limonium prefers rich and well-drained soil in full sun. It is not particular as to soil pH."|"Full sun"|"low"|"low"
Lobelia|Lobelia|"Annuals, Perennials, Shrubs"|"The flowers come in shades of blue, white, pink, red and purple."|":3:4:5:6:7:8:9:"|"Spring, Autumn, Summer"|"The plant ranges in height from 15 cm (6 inches) to 150 cm (5 ft), depending on species."|"Lobelia prefers rich, moist and well drained soil, with a pH level from 6.0 to 7.5."|"Full sun, Partial sun"|"average"|"low"
Lonicera|Honeysuckle|"Climbers, Shrubs"|"The flowers come in shades of white, yellow, pink, orange and red."|":2:3:4:5:6:7:8:9:10:"|"Spring, Autumn, Winter, Summer"|"Honeysuckles range in height from 60 cm (2 ft) to 9 m (30 ft) tall."|"Some species prefer fertile, rich, moist and well-drained soil, while others will grow in any well-drained soil."|"Full sun, Partial sun"|"average"|"low"
Lupinus|Lupine; Lupin|"Annuals, Perennials"|"The flowers are usually blue or purple, but sometimes pink, yellow and white."|":4:5:6:7:8:"|"Spring, Summer"|"Lupinus grows from 30 cm to 1,5 m (1 to 5 ft) tall, depending on species."|"Lupinus grows best in well drained, neutral to slightly acidic soil. The ideal pH is between 5.5 and 7.0."|"Full sun, Partial sun"|"average"|"low"
Lycoris|Red Spider Lily|"Bulbs, Perennials"|"The flowers come in shades of red, pink, orange, white and yellow."|":5:6:7:8:9:10:"|"Spring, Autumn, Summer"|"Lycoris grows up to 60 cm (2 ft) in height."|"The plant prefers soils that are rich and well-drained, with medium moisture. It is not fussy about the soil pH."|"Full sun, Partial sun"|"average"|"low"
Magnolia|Magnolia|"Shrubs, Trees"|"Magnolia produces white, purple, pink and yellow flowers, depending on variety."|":4:5:6:7:8:9:"|"Spring, Summer"|"The trees can grow to a height of 20 metres (65 ft), while shrubs are smaller and are 2,5 to 6 metres (8-20 ft) high."|"Magnolia grows best in rich, moist and well drained soil. They prefer acidic soil, but can tolerate clay, loam, or sand."|"Full sun, Partial sun"|"average"|"low"
Malva|Mallow|"Annuals, Perennials"|"The flowers are usually pink, purple and white."|":3:4:5:6:7:8:9:10:"|"Spring, Autumn, Summer"|"This plant grows up to 150 cm (5 ft) in height, but most of the species are smaller than that."|"Mallow likes rich and well-drained soil, even slightly dry and poor. Most species prefer neutral to slightly acidic pH."|"Full sun, Partial sun"|"average"|"low"
Mandevilla|Dipladenia; Rocktrumpet|"Annuals, Climbers, Perennials"|"The flowers come in shades of red, pink, white and yellow."|":9:10:11:"|"Spring, Autumn, Summer"|"The species can grow up to 6 metres (20 ft) in height, or even more."|"Mandevilla prefers rich, sandy and well drained soil with organic material added."|"Partial sun"|"average"|"medium"
Mimosa|Mimosa|"Annuals, Perennials, Shrubs, Trees"|"The flowers come in shades of pink, purple and white."|":9:10:11:12:13:"|"Summer"|"They can be found in various sizes and some (Mimosa pigra) may grow as large as 6 m (20 ft) tall."|"Mimosa grows best in moist and well-drained loamy soil. The ideal soil pH is between 5.0 and 7.0."|"Full sun, Partial sun"|"average"|"medium"
Monarda|Bee Balm; Bergamot|"Perennials"|"These flowers come in shades of red, pink, purple and white."|":3:4:5:6:7:8:9:"|"Autumn, Summer"|"Different varieties vary in height from dwarf species barely 25 cm (10 inches) tall to &#34;giants&#34; that reach about 1,5 metres (5 ft) high."|"Monarda prefers well drained soil, with a pH from 6.0 to 7.0."|"Full sun, Partial sun"|"average"|"low"
Muscari|Grape Hyacinth|"Bulbs"|"These flowers are commonly blue. However, the white, pink and yellow types can also be found."|":4:5:6:7:8:9:"|"Spring"|"Muscari is a small plant that grows between 10 cm (4 inches) and 25 cm (10 inches) tall."|"The plant grows best in moist and well drained soil, with a pH between 6.0 and 7.0."|"Full sun, Partial sun"|"average"|"low"
Myosotis|Forget Me Not; Scorpion Grass|"Perennials"|"The flowers are usually blue, but may be pink or white, sometimes with a yellow center."|":3:4:5:6:7:8:9:"|"Spring, Summer"|"Myosotis can reach about 30 cm (1 ft) in height."|"This plant performs best in rich, moist and well drained soil, with a pH between 5.5 and 7.5."|"Full sun, Partial sun"|"average"|"low"
Myrtus|Myrtle|"Shrubs, Trees"|"The flowers are most commonly white."|":8:9:"|"Spring, Summer"|"Myrtle grows up to 6 metres (20 ft) in height."|"Myrtle likes moist and well drained soil. The ideal pH value is between 6.0 and 8.0."|"Full sun, Partial sun"|"average"|"low"
Narcissus|Daffodil|"Bulbs, Perennials"|"These flowers are usually white and yellow."|":3:4:5:6:7:8:9:"|"Spring"|"Some species can reach a height of 10 cm (4 inches), while others can grow up to 90 cm (3 ft) tall."|"These plants prefer rich and moist, but well-drained soil and will grow best in soil that is neutral to slightly acidic (pH of 6.0 to 7.0)."|"Full sun, Partial sun"|"low"|"low"
Nelumbo|Lotus|"Perennials"|"Nelumbo nucifera has white or pink flowers, while Nelumbo lutea has yellow ones."|":4:5:6:7:8:9:10:"|"Spring, Summer"|"The leaves and flowers of Nelumbo nucifera are held on stems up to 2 metres (7 ft) tall. The Nelumbo lutea are almost the same size, ranging from 80 cm to 1,5 metres (3-5 ft) in height."|"Both species need rich and loamy soil. The optimal soil pH is between 6.5 and 8.0."|"Full sun"|"average"|"low"
Nemesia|Nemesia|"Annuals, Perennials, Shrubs"|"These flowers come in shades of blue, purple, red, pink, orange, mauve, yellow, cream and white."|":8:9:10:11:"|"Spring, Autumn, Winter, Summer"|"The half-inch flowers bloom on plants that grow up to 60 cm (2 ft) tall."|"Nemesia likes moist and well drained soil. The ideal soil pH is between 5.5 and 7.0."|"Full sun, Partial sun"|"average"|"low"
Nemophila|Baby Blue Eyes|"Annuals"|"The flowers vary in color from a true blue to a definite purple."|":2:3:4:5:6:7:8:9:10:11:"|"Spring, Winter"|"Nemophila is a small plant, rarely growing over 30 cm (1 ft) high."|"The plant likes rich, moist and well drained soil. It prefers soil with a pH of 5.5 to 8.0."|"Full sun, Partial sun"|"average"|"low"
Nepeta|Catmint; Catnip; Cataria|"Perennials"|"Nepeta comes in shades of blue, purple, white and even pink and yellow."|":3:4:5:6:7:8:9:"|"Spring, Autumn, Summer"|"Nepeta grows between 20 cm and 2 metres (8 inches to 7 ft) high, depending on variety."|"Nepeta prefers moist and well drained soil, with a pH level between 5.5 and 7.0."|"Full sun, Partial sun"|"low"|"low"
Nerine|Guernsey Lily|"Bulbs, Perennials"|"The flowers come in shades of pink, orange, red and white."|":8:9:10:11:"|"Autumn, Summer"|"Nerine reaches 60 cm (2 ft) in height."|"Nerine likes moist and well drained soil. It is not particular as to soil type or pH."|"Full sun, Partial sun"|"average"|"medium"
